Roll,Name,Cost,Description,
01-02,Acid,*,"The cacodemon’s attacks destroy non-magical armor or clothing on a successful hit. A non-magical weapon that strikes the cacodemon dissolves immediately after dealing damage. Magical weapons and armor are allowed a saving throw using the wielder’s Death save, adding any magical bonus to the roll if applicable.",
03-04,Aura,*,"The cacodemon is surrounded by a damaging aura that deals damage to susceptible creatures each round. The aura has a radius of 1’ per HD (minimum 5’) and deals 1d8 damage per round. Roll 1d8 for the type of aura: 1, arcane; 2, acidic; 3, cold; 4, electrical; 5, fire; 6, luminous or necrotic; 7, poisonous; 8, seismic.",
5,Berserk,##,The cacodemon gains a +2 bonus to attack rolls and is immune to fear. Its morale score is raised to +4.,
06-07,Bonus Attack,varies,"The cacodemon gains one or more bonus attacks. Roll 1d6: 1–3, one bonus attack dealing damage equal to its primary attack; 4–6, two bonus attacks each dealing damage equal to its secondary attack (or half its primary attack). If the bonus attack increases the cacodemon’s average damage to more than 4 points per HD, it counts as 1.5 special ability. Otherwise it counts as 1/4 special ability.",
08-09,Breath Weapon,*,"The cacodemon gains a dragon-like breath weapon usable 3/day. The breath weapon deals 1d6 extraordinary damage per HD of the cacodemon, with a successful Blast save reducing damage by half. Roll 1d8 for the type of breath weapon or choose: 1, flame (fire); 2, lightning (electric); 3, freezing vapors (cold); 4, poison vapor (poisonous); 5, sonic blast (seismic); 6, blistering corrosive (acidic); 7, magical force (arcane); 8, fetid gas (necrotic). Area of effect and special properties are as per a dragon.",
10-12,Charge,#,The cacodemon is capable of making charge attacks that deal double damage dice. Choose one natural attack type for the charge.,
13-14,Class Powers/Proficiencies,varies,"The cacodemon gains 1d4 class powers or proficiencies, selected based on the cacodemon’s overall design (Judge’s choice), excluding spellcasting. Each class power counts as 1/8 special ability.",
15-16,Dreadful,*,"Creatures that start their initiative or move within 60’ of the cacodemon must succeed on Paralysis saving throws or flee. If the creature is already cowering or faltering, it is instead mesmerized. Creatures with class level or HD equal to or greater than 1/2 the cacodemon’s HD are immune to the dread.",
17-18,Enervation,**,A character damaged by the cacodemon’s primary attack reduces his maximum hp by the amount of damage dealt and becomes enervated.,
19-20,Enslave,*,"The cacodemon can enslave victims to its will by claw or by gaze. The target must succeed on a Spells save or become enslaved to the cacodemon. If the cacodemon has 3 HD or less, the save is at +2. If the cacodemon has 9 HD or more, the save is at -2.",
21-23,Flying,####,"The cacodemon is capable of flying at the speed noted for its body form. If it already flies, it becomes capable of making dive attacks that deal double damage. If a dive hits a victim smaller than itself, it grabs and carries him off, unless the victim makes a successful size-adjusted Paralysis save. If he already has a dive attack, re-roll.",
24-25,Grab/Restrain,*,"The cacodemon gains the ability to grab or restrain its targets. Roll 1d20: 1–14, it gains a constriction attack that deals damage equal to its primary attack and restrains any creature struck that is smaller than the cacodemon; 15–17, if it hits a creature smaller than itself with at least two of its secondary attacks, the creature struck must make a successful size-adjusted Paralysis save or be grabbed; 18–20, if it hits a creature smaller than itself with its primary attack, the creature struck must make a successful size-adjusted Paralysis save or be grabbed.",
26-27,Horrific,*,Creatures encountering the cacodemon must make a successful Paralysis save at the start of their first initiative or be cowering until the start of their next initiative.,
28-31,Hug,##,"If the cacodemon hits with more than half its attacks during its attack sequence, it deals additional damage: 2d6 if man-sized, 2d8 if large, 2d10 if huge, 2d12 if gigantic, and 2d10 if colossal.",
32-37,Immunity,varies,"The cacodemon gains immunity. Roll 1d12: 1, all mundane damage; 2, all extraordinary damage; 3, all physical damage; 4, all energy damage; 5, any 6 damage types; 6, any 3 damage types ####; 7, any mundane physical damage ####; 8, any 3 mundane damage types ##; 9, all enchantment effects ####; 10, all death effects ###; 11, all transmogrification effects ###; 12 roll 1d4 & 1d6 twice. Re-roll if the cacodemon is already immune to the effect.",
38,Incorporeal,*,"The cacodemon is formless, weightless, and unable to interact with physical objects except through its attacks or special abilities. It becomes immune to mundane damage. However, if an incorporeal cacodemon has 4 HD or less, it considers damage dealt by silvered weapons to be extraordinary damage. It can select Enervate or Flying as special abilities.",
